"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","ContractAddress","Value_IN(BNB)","Value_OUT(BNB)","CurrentValue @ $579.942519330872/BNB","TxnFee(BNB)","TxnFee(USD)","Historical $Price/BNB","Status","ErrCode","Method"
"0xe03279784030b77878b393dcfaa0fd372889ae27dfd5e252377bca7450e5d7af","38001413","1713545132","2024-04-19 16:45:32","0x41843f6c3302e009891cd652501969fa755651b6","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000003077000006","0","0.00178448313546075","0.000033122999994","0.0192094360643168","554.52","","","Transfer"
"0x01538af4de10da1527a25632aacb68acec2f1ebdffe5772600ce1ce9d8592ba7","38001414","1713545135","2024-04-19 16:45:35","0xd3b0e4e2fdc8c8e9130fb5da09fc1c9c0570d736","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000003077000006","0","0.00178448313546075","0.000033122999994","0.0192094360643168","554.52","","","Transfer"
"0x93ac63cd315783e898a5f97e7dcd44970d4b94b3c3eb8ff1627ca7195c0eaf5d","38001415","1713545138","2024-04-19 16:45:38","0xddac7e13f6edbc1e650d13e46fe1f4f2fbbbe1bd","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000003162000019","0","0.00183377825714313","0.000034037999982","0.0197400834625453","554.52","","","Transfer"
"0x5327e9330f47b97fece5a10c30a9b5aa7038ffdbc73bd6fae11afe39ee8df34f","38001415","1713545138","2024-04-19 16:45:38","0xed392dbf14c14bf113f8342224472080ddacd7c9","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000003077000006","0","0.00178448313546075","0.000033122999994","0.0192094360643168","554.52","","","Transfer"
"0xd0607201a9d4284d77a77279ce75e2735ef3cfff516581899c8afc68673748bc","38001431","1713545186","2024-04-19 16:46:26","0xc4db123b938023afbcd8c718571a75e326153831","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000003077000007","0","0.00178448313604069","0.000033122999994","0.0192094360643168","554.52","","","Transfer"
"0x1d50e491d7355f916ab5bcb9b797132073367544e5d1318ddcee35784785a8d2","38001435","1713545198","2024-04-19 16:46:38","0x1ccff9cbafc6f168e4186fe532070ba8638ed205","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.00000348500001","0","0.00202109968566751","0.000037514999991","0.0217565436074782","554.52","","","Transfer"
"0xbad1284124536ccae975c01f66745d80bbead7c5fe5c1cb1dd7160202502cb80","38001436","1713545201","2024-04-19 16:46:41","0xed481a3fbe6830cdaf648a6fafa68d078a2beb37","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000002031500018","0","0.00117815323845963","0.000021868499982","0.0126824729735482","554.52","","","Transfer"
"0xdf7ef2cbb8f9809d6966b6f93b2e4b71e6f73c1d4299edcdae17280a190b62b7","38001437","1713545204","2024-04-19 16:46:44","0x10b5f639765717c5f491ac3e3e80b022f652d73b","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.00000348500001","0","0.00202109968566751","0.000037514999991","0.0217565436074782","554.52","","","Transfer"
"0x9c185215e30eedb29d2b0d31a360bbb6e467b7e71d0aa35c502a5d684f6d1c0d","38001438","1713545207","2024-04-19 16:46:47","0x332efead24e01dc17ccea50ef373770514494dd6","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000003655000012","0","0.00211968991511365","0.000039344999988","0.0228178384161138","554.52","","","Transfer"
"0x8914a394e65ea66a7f938faf6daf596d461de9276dcc8d46bfe5135f2f7136fc","38001462","1713545279","2024-04-19 16:47:59","0x21a8194c6100919a068c7634de86ae1e23e2e091","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000003162000019","0","0.00183377825714313","0.000034037999982","0.0197400834625453","554.52","","","Transfer"
"0xa5215f5f8ff6329d5e0ee34b314b77c75f8401039452443df337468ac969a34f","38001464","1713545285","2024-04-19 16:48:05","0x88ae9ffc17f6a3d66360df56cfd4ccdd03e85507","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000003247000009","0","0.00188307336548682","0.000034952999991","0.0202707308729525","554.52","","","Transfer"
"0x69508ea7b29e7799cc48df827533be97a2f1995f996cfc1d5509c3a2a9e78760","38001465","1713545288","2024-04-19 16:48:08","0x24c5b80eba4d8f6c1aaabf965deebc532ac91f19","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000003077000006","0","0.00178448313546075","0.000033122999994","0.0192094360643168","554.52","","","Transfer"
"0xb48b5bfc3eba5f1bf639080f20668996681f9bd599924ec693e4bf4eb9b4cea0","38001466","1713545291","2024-04-19 16:48:11","0xfe70a939b79adc01067beeda3a8f47d6f1f2e64f","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000003162000019","0","0.00183377825714313","0.000034037999982","0.0197400834625453","554.52","","","Transfer"
"0x1acf6bab32bfb985e487d6e7367228207f86fa47b45593dd7b887a852e0111fe","38001483","1713545342","2024-04-19 16:49:02","0xaaf4398daeffcf930a2e85c8f9ada5b69ff9ef6c","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000003162000018","0","0.00183377825656318","0.000034037999982","0.0197400834625453","554.52","","","Transfer"
"0xd01c94bafa9b40b0b8f9e968f139e1f0a7643ed1ac00d2ab7b347ead3984467f","38001484","1713545345","2024-04-19 16:49:05","0xfe122cd0719ea83ad452d432c08353792e5a0b04","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000002069495021","0","0.00120018815622144","0.000022277504991","0.0129196723688866","554.52","","","Transfer"
"0xa93b98b448adbc549a072d6e533b6caf96cd6b2fbefdb32ee28b0a4f144c21de","38001485","1713545348","2024-04-19 16:49:08","0x858c134bf9f1194e2f793b330fb65c605c8b4042","0xb831e554c7960688c61791ff0fa798652f9cf711","","0.000001984495018","0","0.00115089304033848","0.000021362504982","0.0123890249584794","554.52","","","Transfer"
